"","Site","Year","Block","Trt","Plot","Tree_Number","Sp_code","Cond","DBH","CoreID","response","priorDBH","priorYear","PlotID","totalPlotBA_ha","priorBA","CanopyCover","meanVPD","maxVPD","meanSWA","minSWA"
"55","FV",2019,1,1,10,26,"PIPO",1,9.9,"FV_1_1_10_26","Live",9.4,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"56","FV",2006,1,1,10,27,"PIPO",1,2.6,"FV_1_1_10_27","Live",2.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"57","FV",2011,1,1,10,27,"PIPO",1,2.6,"FV_1_1_10_27","Live",2.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"58","FV",2019,1,1,10,27,"PIPO",1,2.8,"FV_1_1_10_27","Live",2.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"59","FV",2006,1,1,10,28,"PIPO",1,5.9,"FV_1_1_10_28","Live",5.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"60","FV",2011,1,1,10,28,"PIPO",1,6.1,"FV_1_1_10_28","Live",5.9,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"61","FV",2019,1,1,10,28,"PIPO",5,NA,"FV_1_1_10_28","Dead",6.1,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"62","FV",2006,1,1,10,29,"PIPO",1,6.4,"FV_1_1_10_29","Live",6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"63","FV",2011,1,1,10,29,"PIPO",1,6.7,"FV_1_1_10_29","Live",6.4,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"64","FV",2019,1,1,10,29,"PIPO",1,7.1,"FV_1_1_10_29","Live",6.7,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"65","FV",2006,1,1,10,3,"PIPO",1,31.2,"FV_1_1_10_3","Live",29.7,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"66","FV",2011,1,1,10,3,"PIPO",1,31.3,"FV_1_1_10_3","Live",31.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"67","FV",2019,1,1,10,3,"PIPO",1,34.2,"FV_1_1_10_3","Live",31.3,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"68","FV",2006,1,1,10,30,"PIPO",1,2.9,"FV_1_1_10_30","Live",2.9,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"69","FV",2011,1,1,10,30,"PIPO",1,2.8,"FV_1_1_10_30","Live",2.9,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"70","FV",2019,1,1,10,30,"PIPO",1,3.1,"FV_1_1_10_30","Live",2.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"71","FV",2006,1,1,10,31,"PIPO",1,6.2,"FV_1_1_10_31","Live",5.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"72","FV",2011,1,1,10,31,"PIPO",1,7,"FV_1_1_10_31","Live",6.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"73","FV",2019,1,1,10,31,"PIPO",1,7.7,"FV_1_1_10_31","Live",7,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"74","FV",2006,1,1,10,32,"PIPO",1,5.6,"FV_1_1_10_32","Live",5,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"75","FV",2011,1,1,10,32,"PIPO",1,6.2,"FV_1_1_10_32","Live",5.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"76","FV",2019,1,1,10,32,"PIPO",1,7.1,"FV_1_1_10_32","Live",6.2,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"77","FV",2006,1,1,10,33,"PIPO",1,5.6,"FV_1_1_10_33","Live",4.6,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"78","FV",2011,1,1,10,33,"PIPO",1,6.3,"FV_1_1_10_33","Live",5.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"79","FV",2019,1,1,10,33,"PIPO",1,7.5,"FV_1_1_10_33","Live",6.3,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"80","FV",2006,1,1,10,34,"PIPO",1,7.7,"FV_1_1_10_34","Live",6.9,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"81","FV",2011,1,1,10,34,"PIPO",1,7.8,"FV_1_1_10_34","Live",7.7,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"82","FV",2019,1,1,10,34,"PIPO",1,9.6,"FV_1_1_10_34","Live",7.8,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"83","FV",2006,1,1,10,35,"PIPO",1,6.3,"FV_1_1_10_35","Live",5.5,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"84","FV",2011,1,1,10,35,"PIPO",1,6.6,"FV_1_1_10_35","Live",6.3,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"85","FV",2019,1,1,10,35,"PIPO",1,7.7,"FV_1_1_10_35","Live",6.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"86","FV",2006,1,1,10,36,"PIPO",1,19.4,"FV_1_1_10_36","Live",18.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"87","FV",2011,1,1,10,36,"PIPO",1,21,"FV_1_1_10_36","Live",19.4,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"88","FV",2019,1,1,10,36,"PIPO",1,23.8,"FV_1_1_10_36","Live",21,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"89","FV",2006,1,1,10,37,"PIPO",1,4,"FV_1_1_10_37","Live",3.7,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"90","FV",2011,1,1,10,37,"PIPO",1,4.1,"FV_1_1_10_37","Live",4,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"91","FV",2019,1,1,10,37,"PIPO",1,4.6,"FV_1_1_10_37","Live",4.1,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"92","FV",2006,1,1,10,38,"PIPO",1,10.2,"FV_1_1_10_38","Live",9.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"93","FV",2011,1,1,10,38,"PIPO",1,11.4,"FV_1_1_10_38","Live",10.2,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"94","FV",2019,1,1,10,38,"PIPO",1,13.5,"FV_1_1_10_38","Live",11.4,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"95","FV",2006,1,1,10,39,"PIPO",1,2.6,"FV_1_1_10_39","Live",2.4,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"96","FV",2011,1,1,10,39,"PIPO",1,2.6,"FV_1_1_10_39","Live",2.6,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"97","FV",2019,1,1,10,39,"PIPO",1,3,"FV_1_1_10_39","Live",2.6,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"98","FV",2006,1,1,10,40,"PIPO",1,3.7,"FV_1_1_10_40","Live",3.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
"99","FV",2011,1,1,10,40,"PIPO",1,4.3,"FV_1_1_10_40","Live",3.7,2006,"FV_1_1_10",23.04524607,22.08038217,33.955102042,7.82417341914747,14.2231014546422,50.8332130620075,7.58872610332293
"100","FV",2019,1,1,10,40,"PIPO",1,5.1,"FV_1_1_10_40","Live",4.3,2011,"FV_1_1_10",26.34380826,23.04524607,38.4253826525,7.76912500082,14.4849442798482,66.6584657820657,5.01057823587114
"101","FV",2006,1,1,10,41,"PIPO",1,4.5,"FV_1_1_10_41","Live",4.3,1998,"FV_1_1_10",22.08038217,20.842140165,37.0127551,7.73318955687385,14.9864565774693,57.8355312315214,2.63242167614545
