"","Nest_ID","Year_located","Julian_start","Julian_end","UTM_datum_zone","UTM_N","UTM_E"
"181","EMFWOR_NCAMC8-07A_2017",2017,"157","159","NAD83 10N",4674257.705,730403.539
"182","EMFWOR_NCAMC8-07A_2017",2017,"159","164","NAD83 10N",4674257.705,730403.539
"183","EMFWOR_NCAMC8-07A_2017",2017,"164","171","NAD83 10N",4674257.705,730403.539
"184","EMFWOR_NCAMC8-07A_2017",2017,"171","178","NAD83 10N",4674257.705,730403.539
"185","EMFWOR_NCAMC8-07A_2017",2017,"178","181","NAD83 10N",4674257.705,730403.539
"186","EMFWOR_NCAMC8-07A_2017",2017,"181","188","NAD83 10N",4674257.705,730403.539
"187","EMFWOR_NCAMC8-07A_2018",2018,NA,"149","NAD83 10N",4674257.705,730403.539
"188","EMFWOR_NCAMC8-07A_2018",2018,"149","152","NAD83 10N",4674257.705,730403.539
"189","EMFWOR_NCAMC8-07A_2018",2018,"152","155","NAD83 10N",4674257.705,730403.539
"190","EMFWOR_NCAMC8-07A_2018",2018,"155","158","NAD83 10N",4674257.705,730403.539
"191","EMFWOR_NCAMC8-07A_2018",2018,"158","162","NAD83 10N",4674257.705,730403.539
"192","EMFWOR_NCAMC8-07A_2018",2018,"162","171","NAD83 10N",4674257.705,730403.539
"193","EMFWOR_NCAMC8-07A_2018",2018,"171","177","NAD83 10N",4674257.705,730403.539
"194","EMFWOR_NCAMC8-07A_2018",2018,"177","183","NAD83 10N",4674257.705,730403.539
"195","EMFWOR_NCAMC8-07A_2018",2018,"183","187","NAD83 10N",4674257.705,730403.539
"196","EMFWOR_NCAMC8-07A_2019",2019,NA,"155","NAD83 10N",4674257.705,730403.539
"197","EMFWOR_NCAMC8-07A_2019",2019,"155","157","NAD83 10N",4674257.705,730403.539
"198","EMFWOR_NCAMC8-07A_2019",2019,"157","161","NAD83 10N",4674257.705,730403.539
"199","EMFWOR_NCAMC8-09A_2019",2019,NA,"196","NAD83 10N",4674717.222,730382.053
"200","EMFWOR_NCAMC8-09A_2019",2019,"196","199","NAD83 10N",4674717.222,730382.053
"201","EMFWOR_NCAMC8-09A_2019",2019,"199","203","NAD83 10N",4674717.222,730382.053
"202","EMFWOR_NCAMC8-09A_2019",2019,"203","206","NAD83 10N",4674717.222,730382.053
"203","EMFWOR_NCAMC8-09A_2019",2019,"206","210","NAD83 10N",4674717.222,730382.053
"204","EMFWOR_NCAMC8-09A_2019",2019,"210","213","NAD83 10N",4674717.222,730382.053
"205","EMFWOR_NCAMC8-09A_2019",2019,"213","217","NAD83 10N",4674717.222,730382.053
"206","EMFWOR_NCAMC8-09A_2020",2020,NA,"154","NAD83 10N",4674912,730393
"207","EMFWOR_NCAMC8-09A_2020",2020,"154","160","NAD83 10N",4674912,730393
"208","EMFWOR_NCAMC8-09A_2020",2020,"160","163","NAD83 10N",4674912,730393
"209","EMFWOR_NCAMC8-09A_2020",2020,"163","168","NAD83 10N",4674912,730393
"210","EMFWOR_NCAMC8-09A_2020",2020,"168","175","NAD83 10N",4674912,730393
"211","EMFWOR_NCAMC8-09A_2020",2020,"175","181","NAD83 10N",4674912,730393
"212","EMFWOR_NCAMC8-09A_2020",2020,"181","183","NAD83 10N",4674912,730393
"213","EMFWOR_NCAMC8-09A_2020",2020,"183","188","NAD83 10N",4674912,730393
"214","EMFWOR_NCAMC8-09A_2020",2020,"188","190","NAD83 10N",4674912,730393
"215","EMFWOR_NCAMC8-09A_2020",2020,"190","192","NAD83 10N",4674912,730393
"216","EMFWOR_NCAMC8-09A_2020",2020,"192","195","NAD83 10N",4674912,730393
"217","EMFWOR_NCAMC8-09A_2020",2020,"195","197","NAD83 10N",4674912,730393
"218","EMFWOR_NLFTT2-01A_2017",2017,"180","180","NAD83 10N",4684345.878,726668.276
"219","EMFWOR_NLFTT2-01A_2017",2017,"180","192","NAD83 10N",4684345.878,726668.276
"220","EMFWOR_NLFTT2-01A_2017",2017,"192","198","NAD83 10N",4684345.878,726668.276
"221","EMFWOR_NLFTT2-01A_2017",2017,"198","201","NAD83 10N",4684345.878,726668.276
"222","EMFWOR_NLFTT2-01A_2018",2018,NA,"158","NAD83 10N",4683130.505,726414.789
"223","EMFWOR_NLFTT2-01A_2018",2018,"158","166","NAD83 10N",4683130.505,726414.789
"224","EMFWOR_NLFTT2-01A_2018",2018,"166","170","NAD83 10N",4683130.505,726414.789
"225","EMFWOR_NLFTT2-01A_2018",2018,"170","178","NAD83 10N",4683130.505,726414.789
"226","EMFWOR_NLFTT2-01A_2018",2018,"178","187","NAD83 10N",4683130.505,726414.789
"227","EMFWOR_NLFTT2-01A_2018",2018,"187","191","NAD83 10N",4683130.505,726414.789
"228","EMFWOR_NLFTT2-01A_2018",2018,"191","193","NAD83 10N",4683130.505,726414.789
"229","EMFWOR_NLFTT2-01A_2018",2018,"193","197","NAD83 10N",4683130.505,726414.789
"230","EMFWOR_NLFTT2-01B_2018",2018,NA,"159","NAD83 10N",4684325.227,726661.143
"231","EMFWOR_NLFTT2-01B_2018",2018,"159","166","NAD83 10N",4684325.227,726661.143
"232","EMFWOR_NLFTT2-01B_2018",2018,"166","170","NAD83 10N",4684325.227,726661.143
"233","EMFWOR_NLFTT2-01B_2018",2018,"170","178","NAD83 10N",4684325.227,726661.143
"234","EMFWOR_NLFTT2-01B_2018",2018,"178","187","NAD83 10N",4684325.227,726661.143
"235","EMFWOR_NLFTT2-01B_2018",2018,"187","191","NAD83 10N",4684325.227,726661.143
"236","EMFWOR_NLFTT2-01B_2018",2018,"191","193","NAD83 10N",4684325.227,726661.143
"237","EMFWOR_NLFTT2-01B_2018",2018,"193","197","NAD83 10N",4684325.227,726661.143
"238","EMFWOR_NLFTT2-01B_2018",2018,"197","199","NAD83 10N",4684325.227,726661.143
"239","EMFWOR_NLFTT2-01B_2018",2018,"199","200","NAD83 10N",4684325.227,726661.143
"240","EMFWOR_NLFTT2-01B_2018",2018,"200","204","NAD83 10N",4684325.227,726661.143
"241","EMFWOR_NLILT1-07A_2019",2019,NA,"186","NAD83 10N",4700330.137,729458.748
"242","EMFWOR_NLILT1-07A_2019",2019,"186","189","NAD83 10N",4700330.137,729458.748
"243","EMFWOR_NLILT1-07A_2019",2019,"189","192","NAD83 10N",4700330.137,729458.748
"244","EMFWOR_NLILT1-07A_2019",2019,"192","196","NAD83 10N",4700330.137,729458.748
"245","EMFWOR_NLILT1-07A_2019",2019,"196","199","NAD83 10N",4700330.137,729458.748
"246","EMFWOR_NLILT1-07A_2019",2019,"199","203","NAD83 10N",4700330.137,729458.748
"247","EMFWOR_NLILT1-07A_2019",2019,"203","206","NAD83 10N",4700330.137,729458.748
"248","EMFWOR_NLILT1-07A_2019",2019,"206","210","NAD83 10N",4700330.137,729458.748
"249","EMFWOR_NLILT1-07A_2020",2020,NA,"182","NAD83 10N",4700434,729508
"250","EMFWOR_NLILT1-07A_2020",2020,"182","189","NAD83 10N",4700434,729508
"251","EMFWOR_NLILT1-07A_2020",2020,"189","191","NAD83 10N",4700434,729508
"252","EMFWOR_NLILT1-07A_2020",2020,"191","195","NAD83 10N",4700434,729508
"253","EMFWOR_NLILT1-07A_2020",2020,"195","198","NAD83 10N",4700434,729508
"254","EMFWOR_NLILT1-07A_2020",2020,"198","203","NAD83 10N",4700434,729508
"255","EMFWOR_NLILT1-07A_2020",2020,"203","206","NAD83 10N",4700434,729508
"256","EMFWOR_NLILT1-07A_2020",2020,"206","209","NAD83 10N",4700434,729508
"257","EMFWOR_NLILT1-08A_2021",2021,NA,"187","NAD83 10N",4700372,729808
"258","EMFWOR_NLILT1-08A_2021",2021,"187","188","NAD83 10N",4700372,729808
"259","EMFWOR_NLILT1-08A_2021",2021,"188","195","NAD83 10N",4700372,729808
"260","EMFWOR_NLILT1-08A_2021",2021,"195","201","NAD83 10N",4700372,729808
"261","EMFWOR_NLILT1-08A_2021",2021,"201","204","NAD83 10N",4700372,729808
"262","EMFWOR_NLILT1-08A_2021",2021,"204","207","NAD83 10N",4700372,729808
"263","EMFWOR_NLILT1-10A_2016",2016,NA,"176","NAD83 10N",4700147.578,730457.564
"264","EMFWOR_NLILT1-10A_2016",2016,"176","180","NAD83 10N",4700147.578,730457.564
"265","EMFWOR_NLILT1-10A_2016",2016,"180","183","NAD83 10N",4700147.578,730457.564
"266","EMFWOR_NLILT1-10A_2016",2016,"183","188","NAD83 10N",4700147.578,730457.564
"267","EMFWOR_NLILT1-10A_2016",2016,"188","193","NAD83 10N",4700147.578,730457.564
"268","EMFWOR_NLILT1-10A_2016",2016,"193","196","NAD83 10N",4700147.578,730457.564
"269","EMFWOR_NLILT1-10A_2016",2016,"196","200","NAD83 10N",4700147.578,730457.564
"270","EMFWOR_NLILT1-10A_2016",2016,"200","203","NAD83 10N",4700147.578,730457.564
"271","EMFWOR_NLILT1-10A_2016",2016,"203","207","NAD83 10N",4700147.578,730457.564
"272","EMFWOR_NLILT3-04A_2020",2020,NA,"182","NAD83 10N",4696043,730355
"273","EMFWOR_NLILT3-04A_2020",2020,"182","182","NAD83 10N",4696043,730355
"274","EMFWOR_NLILT3-04A_2020",2020,"182","189","NAD83 10N",4696043,730355
"275","EMFWOR_NLILT3-04A_2020",2020,"189","191","NAD83 10N",4696043,730355
"276","EMFWOR_NLILT3-10A_2017",2017,NA,"179","NAD83 10N",4696186.746,731286.483
"277","EMFWOR_NLILT3-10A_2017",2017,"179","180","NAD83 10N",4696186.746,731286.483
"278","EMFWOR_NLILT3-10A_2017",2017,"180","192","NAD83 10N",4696186.746,731286.483
"279","EMFWOR_NLILT3-10A_2017",2017,"192","198","NAD83 10N",4696186.746,731286.483
"280","EMFWOR_NLILT3-10A_2018",2018,NA,"150","NAD83 10N",4696079.92,731275.3
"281","EMFWOR_NLILT3-10A_2018",2018,"150","156","NAD83 10N",4696079.92,731275.3
