Nest_ID,Year_located,Julian_start,Julian_end,UTM_datum_zone,maxTmax_C,meanTmax_C,maxPpt_mm,meanPpt_mm
EMFWOR_NCAMC4-10A_2016,2016,193,195,NAD83 10N,19.893999099731445,16.600666046142578,0.5559999942779541,0.1853333314259847
EMFWOR_NCAMC4-10A_2017,2017,191,191,NAD83 10N,28.863000869750977,28.863000869750977,0,0
EMFWOR_NCAMC4-10A_2018,2018,178,178,NAD83 10N,24.048999786376953,24.048999786376953,0,0
EMFWOR_NCAMC4-10A_2018,2018,178,179,NAD83 10N,24.604999542236328,24.32699966430664,0,0
EMFWOR_NCAMC4-10A_2018,2018,179,183,NAD83 10N,24.604999542236328,21.85540008544922,0,0
EMFWOR_NCAMC4-10A_2018,2018,183,184,NAD83 10N,24.565000534057617,23.214500427246094,0,0
EMFWOR_NCAMC4-10B_2018,2018,131,131,NAD83 10N,14.197999954223633,14.197999954223633,0,0
EMFWOR_NCAMC4-10B_2018,2018,131,144,NAD83 10N,18.6299991607666,15.602499893733434,7.696000099182129,1.6970000064798765
EMFWOR_NCAMC4-10B_2018,2018,144,149,NAD83 10N,19.700000762939453,16.06500021616618,15.081000328063965,5.196666717529297
EMFWOR_NCAMC4-10B_2018,2018,149,152,NAD83 10N,21.933000564575195,17.308500051498413,0.6000000238418579,0.15000000596046448
EMFWOR_NCAMC4-10B_2018,2018,152,155,NAD83 10N,24.281999588012695,18.231499910354614,0.6000000238418579,0.15000000596046448
EMFWOR_NCAMC4-10B_2018,2018,155,158,NAD83 10N,24.281999588012695,21.349250316619873,0,0
EMFWOR_NCAMC4-10B_2018,2018,158,162,NAD83 10N,21.93600082397461,16.702600288391114,5.699999809265137,1.381399965286255
EMFWOR_NCAMC4-10B_2018,2018,162,171,NAD83 10N,23.7810001373291,17.28739995956421,6.295000076293945,0.9465000033378601
EMFWOR_NCAMC4-10B_2018,2018,171,176,NAD83 10N,26.591999053955078,23.144166310628254,0,0
EMFWOR_NCAMC4-10B_2018,2018,176,183,NAD83 10N,26.591999053955078,23.624000072479248,0,0
EMFWOR_NCAMC4-10B_2018,2018,183,186,NAD83 10N,25.259000778198242,23.039249897003174,0,0
EMFWOR_NCAMC5-01A_2015,2015,155,155,NAD83 10N,15.387999534606934,15.387999534606934,0,0
EMFWOR_NCAMC5-01A_2015,2015,155,169,NAD83 10N,27.424999237060547,22.519533284505208,4.989999771118164,0.45533331980307895
EMFWOR_NCAMC5-01A_2015,2015,169,174,NAD83 10N,24.857999801635742,23.109500249226887,0,0
EMFWOR_NCAMC5-01A_2015,2015,174,182,NAD83 10N,31.500999450683594,27.80088890923394,0,0
EMFWOR_NCAMC5-01A_2015,2015,182,189,NAD83 10N,32.27399826049805,28.20349955558777,11.199000358581543,2.420000046491623
EMFWOR_NCAMC5-01A_2015,2015,189,190,NAD83 10N,25.14699935913086,21.378999710083008,11.199000358581543,9.517000198364258
EMFWOR_NCAMC5-01A_2015,2015,190,195,NAD83 10N,21.017000198364258,19.338666915893555,7.835000038146973,3.3456666469573975
EMFWOR_NCAMC5-01A_2017,2017,146,146,NAD83 10N,15.097999572753906,15.097999572753906,0,0
EMFWOR_NCAMC5-01A_2017,2017,146,151,NAD83 10N,23.367000579833984,20.113500277201336,0,0
EMFWOR_NCAMC5-01A_2017,2017,151,154,NAD83 10N,22.93600082397461,18.73900008201599,6.413000106811523,1.6032500267028809
EMFWOR_NCAMC5-01A_2017,2017,154,159,NAD83 10N,23.40999984741211,21.10166645050049,0,0
EMFWOR_NCAMC5-01A_2017,2017,159,164,NAD83 10N,21.562000274658203,11.245666662851969,13.906000137329102,4.469666699568431
EMFWOR_NCAMC5-01A_2017,2017,164,172,NAD83 10N,29.51799964904785,20.127222220102947,13.906000137329102,1.5451111263699002
EMFWOR_NCAMC5-01A_2017,2017,172,175,NAD83 10N,27.799999237060547,24.63099956512451,0,0
EMFWOR_NCAMC5-01A_2018,2018,128,128,NAD83 10N,19.61199951171875,19.61199951171875,0,0
EMFWOR_NCAMC5-01A_2018,2018,128,141,NAD83 10N,21.566999435424805,15.420928478240967,7.389999866485596,0.7310714232070106
EMFWOR_NCAMC5-01A_2018,2018,141,149,NAD83 10N,18.999000549316406,15.524333212110731,14.284000396728516,4.670333392090267
EMFWOR_NCAMC5-01A_2018,2018,149,152,NAD83 10N,21.240999221801758,16.608999729156494,0.6069999933242798,0.15174999833106995
EMFWOR_NCAMC5-01A_2018,2018,152,155,NAD83 10N,23.618000030517578,17.597000122070313,0.6069999933242798,0.15174999833106995
EMFWOR_NCAMC5-01A_2018,2018,155,158,NAD83 10N,23.618000030517578,20.69325017929077,0,0
EMFWOR_NCAMC5-01A_2018,2018,158,162,NAD83 10N,21.277999877929688,16.140799903869627,5.894999980926514,1.5461999893188476
EMFWOR_NCAMC5-01A_2018,2018,162,169,NAD83 10N,23.167999267578125,16.91224980354309,8.326000213623047,1.0423750267364085
EMFWOR_NCAMC5-01A_2018,2018,169,176,NAD83 10N,25.940000534057617,19.574874997138977,8.326000213623047,1.5117500126361847
EMFWOR_NCAMC5-01A_2018,2018,176,183,NAD83 10N,25.940000534057617,22.916500091552734,0,0
EMFWOR_NCAMC5-01A_2018,2018,183,186,NAD83 10N,24.565000534057617,22.37249994277954,0,0
EMFWOR_NCAMC5-01A_2020,2020,154,154,NAD83 10N,15.151000022888184,15.151000022888184,0,0
EMFWOR_NCAMC5-01A_2020,2020,154,155,NAD83 10N,22.31599998474121,18.733500003814697,0,0
EMFWOR_NCAMC5-01A_2020,2020,155,161,NAD83 10N,22.97100067138672,16.579000064304896,3.562000036239624,1.144142849104745
